PlayerTeamYearID,PlayerID,TeamID,SeasonID
1,1,1,1
2,2,1,1
3,3,1,1
4,4,1,1
5,5,1,1
6,6,1,1
7,7,1,1
8,8,1,1
9,9,1,1
10,10,1,1
11,11,1,1
12,12,1,1
13,13,2,1
14,14,2,1
15,15,2,1
16,16,2,1
17,17,2,1
18,18,2,1
19,19,2,1
20,20,2,1
21,21,2,1
22,22,2,1
23,23,2,1
24,24,2,1
25,25,3,1
26,26,3,1
27,27,3,1
28,28,3,1
29,29,3,1
30,30,3,1
31,31,3,1
32,32,3,1
33,33,3,1
34,34,3,1
35,35,3,1
36,36,3,1
37,37,4,1
38,38,4,1
39,39,4,1
40,40,4,1
41,41,4,1
42,42,4,1
43,43,4,1
44,44,4,1
45,45,4,1
46,46,4,1
47,47,4,1
48,48,4,1
49,49,5,1
50,50,5,1
51,51,5,1
52,52,5,1
53,53,5,1
54,54,5,1
55,55,5,1
56,56,5,1
57,57,5,1
58,58,5,1
59,59,5,1
60,60,5,1
61,61,6,1
62,62,6,1
63,63,6,1
64,64,6,1
65,65,6,1
66,66,6,1
67,67,6,1
68,68,6,1
69,69,6,1
70,70,6,1
71,71,6,1
72,72,6,1
73,73,7,1
74,74,7,1
75,75,7,1
76,76,7,1
77,77,7,1
78,78,7,1
79,79,7,1
80,80,7,1
81,81,7,1
82,82,7,1
83,83,7,1
84,84,7,1
85,85,8,1
86,86,8,1
87,87,8,1
88,88,8,1
89,89,8,1
90,90,8,1
91,91,8,1
92,92,8,1
93,93,8,1
94,94,8,1
95,95,8,1
96,96,8,1
97,97,9,1
98,98,9,1
99,99,9,1
100,100,9,1
101,101,9,1
102,102,9,1
103,103,9,1
104,104,9,1
105,105,9,1
106,106,9,1
107,107,9,1
108,108,9,1
109,109,10,1
110,110,10,1
111,111,10,1
112,112,10,1
113,113,10,1
114,114,10,1
115,115,10,1
116,116,10,1
117,117,10,1
118,118,10,1
119,119,10,1
120,120,10,1
121,121,11,1
122,122,11,1
123,123,11,1
124,124,11,1
125,125,11,1
126,126,11,1
127,127,11,1
128,128,11,1
129,129,11,1
130,130,11,1
131,131,11,1
132,132,11,1
133,133,12,1
134,134,12,1
135,135,12,1
136,136,12,1
137,137,12,1
138,138,12,1
139,139,12,1
140,140,12,1
141,141,12,1
142,142,12,1
143,143,12,1
144,144,12,1
145,145,13,1
146,146,13,1
147,147,13,1
148,148,13,1
149,149,13,1
150,150,13,1
151,151,13,1
152,152,13,1
153,153,13,1
154,154,13,1
155,155,13,1
156,156,13,1
157,157,14,1
158,158,14,1
159,159,14,1
160,160,14,1
161,161,14,1
162,162,14,1
163,163,14,1
164,164,14,1
165,165,14,1
166,166,14,1
167,167,14,1
168,168,14,1
169,169,15,1
170,170,15,1
171,171,15,1
172,172,15,1
173,173,15,1
174,174,15,1
175,175,15,1
176,176,15,1
177,177,15,1
178,178,15,1
179,179,15,1
180,180,15,1
181,181,16,1
182,182,16,1
183,183,16,1
184,184,16,1
185,185,16,1
186,186,16,1
187,187,16,1
188,188,16,1
189,189,16,1
190,190,16,1
191,191,16,1
192,192,16,1
193,193,17,1
194,194,17,1
195,195,17,1
196,196,17,1
197,197,17,1
198,198,17,1
199,199,17,1
200,200,17,1
201,201,17,1
202,202,17,1
203,203,17,1
204,204,17,1
205,205,18,1
206,206,18,1
207,207,18,1
208,208,18,1
209,209,18,1
210,210,18,1
211,211,18,1
212,212,18,1
213,213,18,1
214,214,18,1
215,215,18,1
216,216,18,1
217,217,19,1
218,218,19,1
219,219,19,1
220,220,19,1
221,221,19,1
222,222,19,1
223,223,19,1
224,224,19,1
225,225,19,1
226,226,19,1
227,227,19,1
228,228,19,1
229,229,20,1
230,230,20,1
231,231,20,1
232,232,20,1
233,233,20,1
234,234,20,1
235,235,20,1
236,236,20,1
237,237,20,1
238,238,20,1
239,239,20,1
240,240,20,1
241,241,21,1
242,242,21,1
243,243,21,1
244,244,21,1
245,245,21,1
246,246,21,1
247,247,21,1
248,248,21,1
249,249,21,1
250,250,21,1
251,251,21,1
252,252,21,1
253,253,22,1
254,254,22,1
255,255,22,1
256,256,22,1
257,257,22,1
258,258,22,1
259,259,22,1
260,260,22,1
261,261,22,1
262,262,22,1
263,263,22,1
264,264,22,1
